user_id,count_futures_trader,count_index_options_non_scalper,count_index_options_scalper,count_index_options_seller,count_investor,count_stock_options_non_scalper,count_stock_options_scalper,count_stock_options_seller,count_stock_trader,count_unmapped,pct_futures_trader,pct_index_options_non_scalper,pct_index_options_scalper,pct_index_options_seller,pct_investor,pct_stock_options_non_scalper,pct_stock_options_scalper,pct_stock_options_seller,pct_stock_trader,pct_unmapped,total_trades,primary_persona
d643jiro36bs73akejf0,0,301,0,0,0,0,0,0,1,0,0.0,99.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,302,index options non-scalper
d644thbo36bs73akfie0,0,0,0,0,0,0,0,0,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,81,stock trader
d6454ibo36bs73akfmng,2,26,0,50,1,11,0,42,0,0,1.52,19.7,0.0,37.88,0.76,8.33,0.0,31.82,0.0,0.0,132,mixed
d645uj664gac739mergg,0,1,2,0,0,5,0,0,0,0,0.0,12.5,25.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,8,stock options non-scalper
d648ttu64gac739mgcf0,0,0,71,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,index options scalper
d64qg45tj8cc73bh1tc0,0,0,5,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,index options scalper
d64t7f7f41kc73e356l0,0,108,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,index options non-scalper
d64un5ltj8cc73bh2no0,0,144,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,index options non-scalper
d64vv0dtj8cc73bh325g,0,0,64,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,index options scalper
d6502v7f41kc73e36tkg,0,0,0,0,18,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,18,investor
d65d4snf41kc73e3biv0,0,0,63,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,index options scalper
d65jmg3sf9ms73a2a5a0,0,212,1,0,0,5,0,0,0,0,0.0,97.25,0.46,0.0,0.0,2.29,0.0,0.0,0.0,0.0,218,index options non-scalper
d661li9f91bc73dkn2ug,0,1,0,0,0,102,0,0,0,0,0.0,0.97,0.0,0.0,0.0,99.03,0.0,0.0,0.0,0.0,103,stock options non-scalper
d662i2hf91bc73dkng0g,0,606,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606,index options non-scalper
d6666h3fatcs73ejbpp0,0,4,0,16,0,0,0,0,0,0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20,index options seller
d66b5g9f91bc73dkr36g,0,0,0,0,12,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12,investor
d66ggi9f91bc73dksdn0,0,30,70,8,11,1,1,0,6,0,0.0,23.62,55.12,6.3,8.66,0.79,0.79,0.0,4.72,0.0,127,mixed
d66m3epf91bc73dktm00,0,0,0,0,15,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,15,investor
d66shn9f91bc73dl047g,0,364,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364,index options non-scalper
